t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4
0,-5.0,4.5,1.2,1.0,1.8727089535203473e-27,-4.915428469146104e-28,3.032036541179799e-28,0.0,0.0,0.0,1.3143880998794306e-29,0.0,-8.408077140608962e-29,0.017148879458796337,-0.017146078858747308,-0.0264236677190121,3.8001349750989024,3.8001028780057435,0.7441573238223371,2.4499896127285394,2.4246657307652364,2.4499773213736886,2.4499998543270323,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0
0.0526293,-4.99998812869608,4.499988123292935,1.19996346776276,0.9999929427833484,0.002632072400394704,0.0026307846004744026,0.0005152996818538974,0.0009025337688826282,-0.0009023863752221005,-0.0013906595163516368,0.1999984984196417,0.19999680917163407,0.039164489768833285,0.11863415501596875,-0.32307139522653816,0.16783560601116895,47.400174251957246,2.8653137079253597,0.395814199827766,2.5720875496731557,2.4073257120563656,2.423428053680134,2.57473220850278,0.9998287960769638,0.00017120392303615102,0.020792794759875263,0.9999514893857312,4.851061426883224e-05,0.022667097372439642,0.9999652563666657,3.474363333425417e-05,0.01999961206463329,0.9999792687233452,2.0731276654737573e-05,0.019998730371374694,0.9999943978898056,5.602110194362852e-06,0.019998510164369335
0.105259,-4.999810036057526,4.499668369191178,1.2001307378613353,0.9991207375944116,0.04070636763490208,0.009888602818812297,0.001684242467981786,0.0071461680134423874,-0.01790541241272873,0.007442413362253358,2.6946371723983438,0.3507963052004227,0.05999591974104498,0.3169375710182645,-1.6361598356481257,0.8581383780071962,-0.017980227141181946,0.11618566676661388,-0.0006735923823962693,2.6994425580566355,2.6994644216815598,2.699463210122615,2.6994642486386926,0.9996575786213625,0.00017121745560132783,0.020788163750060155,0.9999029779324426,4.8511453288504365e-05,0.022664311468549064,0.9999299102460821,3.534612058358228e-05,0.019999649703670054,0.9999573981150921,2.187060825309402e-05,0.0199987692570344,0.9999875268617378,6.8710280678282e-06,0.019998539890656298
0.157888,-4.999042184199544,4.496808602287211,1.201765790015987,0.993588237513384,0.11137550064327523,0.019213790612497665,0.0029356975525183103,0.023826375088132342,-0.10401538283440734,0.05260564786900646,2.6936908853708976,0.3569110771870685,0.05996046903576505,0.6014725949182557,-3.188433177693831,0.9305119570113384,-11.620860831750647,11.628037107139477,-2.2792414587659904,2.746699282096622,2.8241968847913643,2.8241957278178074,2.8241923347211086,0.9994862192631985,0.00017135935816410305,0.020787079639628468,0.9998544643396502,4.851359279257212e-05,0.022663063742752478,0.9998941961316128,3.571411446934708e-05,0.019999672307303786,0.9999347762862294,2.2621828862696173e-05,0.01999879461205678,0.9999797752666978,7.75159503995896e-06,0.019998560592633035
0.210517,-4.997044894581253,4.487229135509786,1.2059197062698601,0.9841479608341855,0.1734654681987233,0.036708953218925464,0.0038844123347607784,0.055481465397414255,-0.2718204350308853,0.10157785422042596,2.0820929468968123,0.968886698114913,-0.059994446322768485,1.0939110602651676,-4.315866812334827,0.8038553950796555,-38.36976290956173,-7.864210183426146,1.5369059361117081,2.8381868040067237,2.939999856394894,2.9399939180545083,2.7859260638385406,0.999314409442099,0.00017180982109934014,0.020789597242762876,0.9998059473066114,4.851703303867121e-05,0.02266242629472885,0.9998582036447141,3.5992486898680456e-05,0.019999687339131086,0.9999115442929674,2.3231993262144308e-05,0.019998812849803458,0.9999712966649256,8.478601772278268e-06,0.01999857669934975
0.263147,-4.992714777077309,4.46708265933692,1.2124436251641337,0.9779281011617346,0.2010481723781807,0.05657699957236863,0.0059385206565644,0.1130532545289247,-0.4989615464656617,0.14388421255136255,0.06271863074366361,0.5549987077545838,0.02089185941340489,1.442658839274165,-4.586634892102367,0.8636014548289114,-3.79814290799403,-9.21859409857611,0.7426892658333369,2.939990885782607,2.939999852960939,2.9219019577821634,2.8966415555654983,0.9991416733849858,0.00017273605711321384,0.020796862121988436,0.9997574221114699,4.8525195141575466e-05,0.02266252725558295,0.999821971709572,3.6231935142086636e-05,0.019999696522026128,0.9998877686799795,2.3775612987750937e-05,0.01999882485985685,0.9999621735583275,9.123106598066041e-06,0.019998588953374755
0.315776,-4.984811012881724,4.43446394143271,1.221215213553394,0.9776188654026442,0.20009806540316713,0.06439297736243862,0.008696018592056683,0.18897940017304013,-0.740352996303765,0.18933496504583286,-0.13717502654998223,0.06983042048673267,0.059979086296757286,1.5431523324931427,-4.547699043041575,0.9335700961513579,-0.004781229348543166,-0.022700988698232248,1.4220493359181082e-05,2.9399938381584194,2.9399998445256217,2.9399436318802894,2.9399371420163125,0.9989674263295,0.00017424705548588353,0.02080977740764898,0.9997088779969053,4.85441145644512e-05,0.022663911205507488,0.9997855119816862,3.645972788578391e-05,0.0199997005449228,0.9998634817367449,2.4286943234722127e-05,0.019998830899950998,0.999952456500253,9.717058074541566e-06,0.019998597452810955
0.368405,-4.9727379471677615,4.389182949339049,1.2324662911639312,0.9782015618886216,0.1966498228066044,0.06582618842205054,0.010836164857229706,0.2701944494683257,-0.9796952790996768,0.23846811916357383,-0.13742665937265156,0.0686356830150276,0.05997983471157341,1.5857388886293386,-4.467268591145825,0.9611994843492768,-0.005675235488058029,-0.00887678937298039,0.0001258143027895557,2.9399926293371164,2.9399998343351044,2.939991639122264,2.9399801564379815,0.9987910364931898,0.0001763898363101825,0.02082882782941359,0.9996603010619877,4.857693491771778e-05,0.02266686407524424,0.9997488216737589,3.669030792737006e-05,0.019999699959852082,0.9998386973245504,2.4784412194445584e-05,0.019998831332560113,0.9999421786089568,1.0277891296269672e-05,0.019998602363188688
0.421035,-4.956331407707529,4.331416802319329,1.2463415901864456,0.978768680937279,0.19319103151183664,0.06723667364556166,0.012972367515883727,0.3536508000163073,-1.214804562354317,0.28905538903984607,-0.13772534312552534,0.06816850367613127,0.05998645623207268,1.6275943827791828,-4.386250818136371,0.9882479879330834,-0.0063248147905903855,-0.007009310990132708,6.262922550492668e-05,2.93998931849755,2.9399998206273055,2.9399968219853707,2.9399841904619475,0.9986118393172297,0.00017919717595997814,0.020854477542923442,0.99961167700155,4.862406043776951e-05,0.02267140313818635,0.9997118896497471,3.693202401172906e-05,0.019999695197754293,0.999813417795617,2.5279528933358728e-05,0.019998826395787966,0.9999313622591477,1.0816349809112096e-05,0.019998603847171764
0.473664,-4.935474506212865,4.2613890874551075,1.2629168410987048,0.9793196952308867,0.18972061693873207,0.06863499173569942,0.01510688561237886,0.4393099765258491,-1.445649935760131,0.3410662031156553,-0.13805821379174885,0.06779960844420695,0.05998975236527328,1.6688412798229184,-4.304649033998589,1.0147713905912237,-0.007919701378680736,-0.006370257204326491,2.088594830264207e-05,2.9399832252743683,2.9399998022607066,2.9399982773375712,2.9399809902289906,0.9984291301163943,0.00018270920083543788,0.020887363407455208,0.9995629915843396,4.868541721033817e-05,0.022677506350257986,0.9996746990545701,3.7190595177030004e-05,0.019999686545990606,0.9997876374603912,2.578033522574326e-05,0.01999881618557766,0.9999200225960001,1.1339663147656325e-05,0.01999860199092943
