t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1
0,3.131982205222188e-14,-2.822882190452544e-20,0.24340004112488722,1.0808185199538658,-1.1985240147419582e-19,3.9054303892771074e-14,-2.5947515202960484e-19,3.395133797673935e-14,-3.144261477070791e-20,6.085296392196745e-13,-6.197521268667565e-18,2.0935320444834144e-16,-1.579842316793818e-16,1.6960968528377915e-12,-1.306790533569508e-18,-8.656194654232545,2.630402757325393e-16,1.9718986263902078e-13,-7.030838693448734e-14,0.24500000987155723,0.24500000987155846,0.24500000987155793,0.24500000987155915,1.0,0,0,0.9999999999999943,0,0
0.020643,6.335813259536783e-14,-5.702455479557875e-20,0.5958981198327641,1.080818520024243,-1.4858023341321468e-19,7.666283052190406e-14,-1.0521471312754789e-17,6.896392536842763e-14,-5.841873802845745e-20,-0.1786901327613835,-7.675715425005431e-19,4.2799505213717324e-15,-1.6093627527783757e-15,0.007922572220695296,-4.123148834899818e-08,-7.30471019784979,0.00023259701465735405,44.68622820682907,4.564702630439888e-05,0.45976022924553184,0.4597586772466369,0.6087135472688435,0.6087135472688442,0.9977219148861095,0.002278085113890524,0.02176428593647804,0.9996286878434355,0.00037131215655326303,0.03997857371589483
0.0412861,8.440260299629893e-07,-4.395031825523061e-12,0.5906607794831819,1.0808062726322916,2.6793639097697236e-08,0.00514531491051801,5.255958137539893e-09,0.00016354593895797644,-8.511430740481552e-10,-0.32948152403438646,4.801508409799491e-06,0.9224593912068102,9.422931787473059e-07,0.08651882254790627,-4.4933072571925776e-07,-5.258057021661408,-6.084309673584961e-07,1.6872547262351846e-06,5.466240402442685e-12,0.9724270789760824,0.9724270789758958,0.9724270846001601,0.9724270846001609,0.9954573609911733,0.002264553894936165,0.021723919569322125,0.9992575786147287,0.00037110922870113475,0.03997855016765658
0.0619291,1.9582459687145692e-05,-1.0179354563794126e-10,0.5827428893960249,1.0807082951718394,8.02850815361899e-08,0.015435478490838227,1.5768037844679676e-08,0.001949557056434087,-1.0126693155810377e-08,-0.4380237813196234,4.788948547795852e-06,0.9224594260368693,9.422932915871001e-07,0.23771521546881008,-1.2308608569337937e-06,-3.5622710574348986,-6.084357483407565e-07,1.0926948952138243e-06,4.534542872500109e-12,1.3361406216498337,1.3361406216496787,1.336140625292061,1.3361406252920618,0.9932032570385854,0.0022541039525878614,0.021695971877199984,0.9988867747857899,0.0003708038289332969,0.039978514640215526
0.0825721,0.00010625790243648578,-5.513871699672865e-10,0.5729444805756776,1.0805123491093904,1.3362914792668964e-07,0.025724243131109496,2.6280690304524256e-08,0.006856720666820023,-3.5535397410109396e-08,-0.5115598688977833,4.776388587098227e-06,0.9224594485934087,9.422933851938292e-07,0.4534991597265932,-2.3408088575011898e-06,-1.871211536491841,-6.08429350471102e-07,1.0314420442641286e-06,5.793152895987241e-12,1.6998541628206856,1.6998541628204875,1.6998541662587152,1.6998541662587163,0.9909589043195701,0.002244352719015269,0.0216758213104178,0.9985163418652465,0.000370432920537755,0.039978471379701314
0.103215,0.0003390651169782597,-1.756280837070842e-09,0.5619878701247949,1.0802184522035705,1.8682102811039973e-07,0.03601067605638367,3.6794296346100673e-08,0.01621831987939935,-8.385679754322817e-08,-0.5501873549049291,4.763828758472052e-06,0.9224594698855033,9.422935047820896e-07,0.7337337658199478,-3.7752588139577496e-06,-0.18672265717202538,-6.084087794332108e-07,1.218384107637203e-06,9.835235887112405e-12,2.0635677031629625,2.0635677031626267,2.0635677072240632,2.063567707224065,0.9887238650429649,0.0022350392766052013,0.021658704158015327,0.9981463073270915,0.0003700345381494127,0.0399784247678209
0.123858,0.0008236939567905638,-4.258701781990675e-09,0.550592580249971,1.0798266310901055,2.3985594135795805e-07,0.04629384479296976,4.7309236887507695e-08,0.0313648119886329,-1.617895989211566e-07,-0.554041877328755,4.75126935449454e-06,0.9224594950366496,9.422937078112122e-07,1.0782353460028427,-5.530057470355758e-06,1.4893551024924407,-6.083450666413653e-07,1.7722268224381433e-06,2.2355803584261007e-11,2.427281242280469,2.427281242279707,2.4272812481874992,2.427281248187501,0.9864974268554738,0.00222643818749114,0.021644613584983523,0.9977766565669081,0.00036965076017774395,0.03997837972377626
0.144501,0.0016932610590097057,-8.738280193070793e-09,0.5394748114700086,1.0793369212770345,2.9272914052097635e-07,0.05657281723368303,5.782589326237819e-08,0.05362286241633581,-2.759467711002897e-07,-0.5232970672101429,4.738711265742447e-06,0.9224595316207906,9.422941693028573e-07,1.4867735121035794,-7.600816988220884e-06,3.155186095446362,-6.080751787273686e-07,3.340859636140144e-06,7.538662554866281e-11,2.7909947780130806,2.7909947780105155,2.790994789147985,2.7909947891479874,0.9842783629563585,0.0022190638991153137,0.021634070322162458,0.9974073287983619,0.0003693277685405453,0.03997834171070871
0.165144,0.0031082216149553145,-1.6010229289034954e-08,0.5293467332419985,1.078749367132945,3.454359347953974e-07,0.06684666181023967,6.834465004039e-08,0.08431438067313686,-4.3285070533202413e-07,-0.45816444891713526,4.726158748296119e-06,0.9224596005862744,9.422957255116379e-07,1.8257376219805865,-9.303486317416224e-06,3.8145933504115948,-6.058793656947809e-07,9.651365491910665e-06,5.06686034359206e-10,2.9399999970909527,2.939999997073723,2.940000029253544,2.9400000292535466,0.9820647817251822,0.00221358123117632,0.02162663389887182,0.9970382129388111,0.0003691158595451244,0.039978316722192764
0.185787,0.005228524588388499,-2.6882009005917893e-08,0.5207037776086257,1.078064021839581,3.979719093710895e-07,0.07711444807961094,7.886592274176137e-08,0.12200314705280177,-6.249029028176262e-07,-0.37941966331035953,4.713651559095976e-06,0.922459799819754,9.423061850493868e-07,2.084664096835174,-1.0588506472434129e-05,3.7773598585400436,-4.4848585042360853e-07,9.979113192231643e-05,3.14099733323814e-08,2.939999697123495,2.939999696055553,2.9400000292266184,2.940000029226622,0.9798541813667165,0.0022106003584657884,0.021623100781274225,0.9966691558049547,0.00036905713385074635,0.03997830980268232
